lang_code,lang_name,page,korean,foreign_translation,pronunciation
01,영어 (English),7,"아침, 저녁으로 온도차이가 많이납니다.",Morning and evening temperature has lots of difference,모닝 앤 이브닝 템퍼러쳘 해즈 랏츠 어브 디퍼런스
01,영어 (English),7,여름,Summer,썸멀
01,영어 (English),7,오늘은 공휴일입니다.,Today is a holiday,투데이 이즈 어 헐리데이
01,영어 (English),7,옷을 따뜻하게 입으세요.,You should wear warm clothes,유 슈드 웨얼 웜 클로우즈
01,영어 (English),7,운동을 좋아하십니까?,Do you like sports? / Do you like to exercise?,두 유 라이크 스폴츠?/ 두 유 라잌 투 엑썰사이즈?
01,영어 (English),7,이번 주말에 등산하는건 어떻습니까?,How about mountian climbing at this weekend?,하우 어바웃 마운틴 클라이밍 앹 디스 위켄드?
01,영어 (English),7,이번 주말에는 쉬세요.,I'm going to take a rest this weekend,아임 고잉 투 테이크 어 뤠스트 디스 위켄드?
01,영어 (English),8,일요일에는 일이 없습니다.,No work on Sunday,노 워ㄹ크 언 썬데이
01,영어 (English),8,좀 더 얇은 옷이 필요한가요 ?,Do you need a little thinner clothes?,두 유 니드 어 리틀 띠널 클로우즈?
01,영어 (English),8,주말에 뭐할꺼예요?,What are you going to do on weekend?,왓 아 유 고잉 투 두 언 위켄드?
01,영어 (English),8,주말에 친구들과 여행을 하세요,You travel with your friends on weekend,유 트레블 위드 유얼 프렌즈 언 위켄드
01,영어 (English),8,주말에 OO를 구경시켜 드릴께요,I will let you to go for sightseeing in the ________ on weekend,아이 윌 렡 츄 투 고 포 사잍씽 인 더 ________ 언 위켄드
01,영어 (English),8,주말에는 함께 교회에 가면 어때요?,How about going to the church together on the weekend?,하우 어바웃 고잉 투 더 철취 언 더 위켄드?
01,영어 (English),8,친구들하고 어디로 놀러가나요?,Where are you hanging out with your friends?,웨얼 아 유 행잉 아웉 위드 유어 프렌즈?
01,영어 (English),8,한국에서 가볼만한 산을 알려줄게요',I will tell you the exciting mountains in Korea,아이 윌 텔 유 더 익싸이팅 마운틴ㅅ 인 코리아
01,영어 (English),8,환절기입니다.,It is a change of season,잍 이즈 어 체인지 어브 씨즌
01,영어 (English),8,시내를 가려면  00번 버스(지하철)를 타야합니다.,You must take the bus no. _____ or subway when going to downtown.,유 머스터 테잌 더 버스 넘벌_____오얼 서브웨이 웬 고잉 투 다운타운
01,영어 (English),9,가전제품,Home appliances,홈 어플라이언시스
01,영어 (English),9,거리에 따라 버스요금이 다릅니다.,The bus fare is differ according to the distance.,더 버스 페얼 이즈 디펄 어코딩 투 더 디스턴스
01,영어 (English),9,거리에 따라 지하철요금이 다릅니다.,The subway fare is differ according to the distance.,더 서브웨이 페얼 이즈 디펄 어코딩 두 더 디스턴스
01,영어 (English),9,교통카드 충전은 ㅇㅇ에서 해요,The reloader of the transportation card is in the __________.,더 뤼로덜 어브 더 트랜스펄테이션 카ㄹ드 이즈 인 더 ______
01,영어 (English),9,기차,Train,트뤠인
01,영어 (English),9,마트,Mart,말트
01,영어 (English),9,백화점,Department Store,디팔ㅌ먼트 스토어
01,영어 (English),9,버스,Bus,버스
01,영어 (English),9,버스요금은 ㅇㅇ원입니다.,The bus fare is _________ won.,더 버스 페얼 이즈 _____원
01,영어 (English),9,비쌉니다,Expenssive,익스펜씨브
01,영어 (English),10,비행기표는 예매했어요?,Did you make a flight reservation?,디 쥬 메이크 어 플라잍 레절베이션?
01,영어 (English),10,시내를 가려면 택시를 타야합니다.,You must take a taxi when going to downtown.,유 머스트 테이크 어 택시 웬 고잉 투 다운타운
01,영어 (English),10,시내버스 ㅇㅇㅇ번을 타세요,Take the city bus no. _____.,테잌 더 씨티 버스 넘벌______
01,영어 (English),10,시장,Market,말켓
01,영어 (English),10,시장은 ㅇㅇ역에 있습니다.,The market is in the _________ station.,더 말켓 이즈 인 더 __________스테이션
01,영어 (English),10,식료품,Grocery,그로써뤼
01,영어 (English),10,신용카드,Credit card,크레딧 카ㄹ드
01,영어 (English),10,신호를 꼭 지키세요,You must obey to the traffic signals.,유 머스트 오베이 투 더 트뤠픽 시그널ㅅ
01,영어 (English),10,쌉니다.,Cheap,칲
01,영어 (English),10,ㅇㅇ역 ㅇ번 출구에 있습니다.,It is in the _________ station at exit no. _____.,잍 이즈 인 더 _____________스테이션 앹 엑싵 넘벌___
01,영어 (English),11,ㅇㅇ역에서 ㅇ호선으로 갈아타세요,You may transfer in  _________ station to line no. ____.,유 메이 트랜스펄 인 ________ 스테이션 투 라인 넘벌___
01,영어 (English),11,어디로 가십니까 ?,Where would you like to go?,웨얼 우 쥬 라이크 투 고?
01,영어 (English),11,어떻게 지불하시겠습니까 ?,How will you pay?,하우 윌 유 페이?
01,영어 (English),11,여기서 가까운 지하철역은 ㅇㅇ 입니다,The nearest station here is _________ station.,더 니어리스트 스테이션 히얼 이즈
01,영어 (English),11,오른쪽,Right side,롸잍 사이드
01,영어 (English),11,왼쪽,Left side,레프트 사이드
01,영어 (English),11,은행,Bank,뱅크
01,영어 (English),11,이것은 ㅇㅇ원 입니다.,This is worth of _________ won,디스 이즈 월쓰 어브__________원
01,영어 (English),11,이것을 사고 싶습니까 ?,Do you like to buy this?,두 유 라이크 투 바이 디스?
01,영어 (English),11,이곳은 시내와 멀리 떨어져 있어요,This place is far from the downtown.,디스 플레이스 이즈 팔 프럼 더 다운타운
01,영어 (English),12,이곳이 번화가입니다.,This is a commercial area,디스 이즈 어 커머셜 에리아
